image,food,portion
121.jpg,Mixed salad with carrots,96.0
121.jpg,Quiche,135.0
121.jpg,Banana,180.0
122.jpg,Bread,60.0
122.jpg,Pasta with tomato sauce and parmesan,167.0
122.jpg,Vegetable meatballs,322.0
122.jpg,Boiled carrots,134.0
122.jpg,Banana,122.0
122.jpg,Water,280.0
123.jpg,Pasta with pumpkin and parmesan,149.0
123.jpg,Water,235.0
123.jpg,Omelette,123.0
123.jpg,Baked potatoes,111.0
123.jpg,Banana,116.0
124.jpg,Vegetable soup with parmesan,215.0
124.jpg,Bread,51.0
124.jpg,Cherry yogurt,125.0
124.jpg,Breaded fish,107.0
124.jpg,Roasted cauliflowers with lemon,114.0
125.jpg,Vegetable soup with parmesan,223.0
125.jpg,Mashed potatoes,66.0
125.jpg,Vegetable burger with radicchio,176.0
125.jpg,Bread,60.0
125.jpg,Strawberry yogurt,125.0
126.jpg,Pasta with tomato sauce and parmesan,138.0
126.jpg,Baked fennel with boiled potatoes,56.0
126.jpg,Vegetable burger with cheese and zucchini,156.0
126.jpg,Bread,60.0
126.jpg,Cherry yogurt,125.0
126.jpg,Water,198.0
127.jpg,Gnocchi with tomato sauce and parmesan,295.0
127.jpg,Robiola,100.0
127.jpg,Banana,152.0
127.jpg,Mixed salad with fennels and tomatoes,135.0
127.jpg,Bread,58.0
128.jpg,Pasta with tomato sauce and parmesan,300.0
129.jpg,Lentil soup,333.0
130.jpg,White rice with curry,770.0
131.jpg,Rice with tomato sauce,687.0
132.jpg,Pasta with green beans,333.0
133.jpg,Dumplings,126.0
134.jpg,Rice with tomato sauce and tuna,640.0
135.jpg,"Pie with potatoes, peppers and tomatoes",258.0
136.jpg,Pasta with carrots and green peas,725.0
137.jpg,Pasta with tomatoes and cheese,236.0
138.jpg,Rice with spinach and beans,482.0
139.jpg,Baked pasta,227.0
139.jpg,Stuffed bell pepper,215.0
139.jpg,Boiled pumpkin,108.0
139.jpg,Bread,56.0
139.jpg,Fruit yogurt,125.0
140.jpg,Breaded cod,120.0
140.jpg,Chicory,136.0
140.jpg,Boiled brussel sprouts,114.0
140.jpg,Plums,126.0
141.jpg,Fish fillet,135.0
141.jpg,Boiled broccoli,143.0
141.jpg,Boiled chickpeas,144.0
141.jpg,Bread,32.0
141.jpg,Fruit yogurt,125.0
142.jpg,Mackerel,121.0
142.jpg,Bread,35.0
142.jpg,Beans,125.0
142.jpg,Boiled cauliflower,180.0
142.jpg,Plums,106.0
143.jpg,Fish fillet,105.0
143.jpg,Baked potatoes,102.0
143.jpg,Boiled broccoli,119.0
143.jpg,Bread,27.0
143.jpg,Pineapple yogurt,125.0
144.jpg,Pasta with courgette and parmesan,280.0
144.jpg,Apple,224.0
144.jpg,Bread,83.0
144.jpg,Vegetable burger with cheese,119.0
144.jpg,Beans with tomato sauce,149.0
145.jpg,bread,59.0
145.jpg,lentil soup with parmesan,442.0
145.jpg,omelette with spinach,135.0
145.jpg,boiled cauliflowers,172.0
145.jpg,apple puree,103.0
146.jpg,plums,120.0
146.jpg,bread,79.0
146.jpg,pasta with parmesan,300.0
146.jpg,spinach quiche,143.0
146.jpg,boiled cauliflowers,169.0
147.jpg,pasta with parmesan,214.0
147.jpg,bread,58.0
147.jpg,plums,123.0
147.jpg,mashed potatoes,226.0
147.jpg,oven-baked vegetables with tomato sauce,235.0
148.jpg,pasta with pesto,234.0
148.jpg,plums,140.0
148.jpg,bread,68.0
148.jpg,vegetable burger with carrots,199.0
148.jpg,boiled cauliflowers,248.0
149.jpg,pasta with tomato sauce and parmesan,221.0
149.jpg,plums,148.0
149.jpg,bread,59.0
149.jpg,roasted fennels,156.0
149.jpg,white pizza with spinach,187.0
150.jpg,plums,143.0
150.jpg,pasta with vegetables and parmesan,265.0
150.jpg,bread,62.0
150.jpg,vegetable burger with spinach,167.0
150.jpg,"boiled potatoes, carrots and brussel sprouts",176.0
151.jpg,pasta with mushrooms and parmesan,293.0
151.jpg,plums,117.0
151.jpg,bread,67.0
151.jpg,omelette,110.0
151.jpg,boiled brussel sprouts and carrots,157.0
152.jpg,pasta with radicchio and parmesan,225.0
152.jpg,plums,167.0
152.jpg,white pizza with spinach,155.0
152.jpg,bread,58.0
152.jpg,boiled potatoes and carrots,133.0
153.jpg,bread,56.0
153.jpg,pear,153.0
153.jpg,whole pasta with tomato sauce and parmesan,212.0
153.jpg,omelette with cheese and vegetables,139.0
153.jpg,roasted green beans,69.0
154.jpg,plums,240.0
154.jpg,bread,54.0
154.jpg,pasta with pesto,247.0
154.jpg,boiled carrots,114.0
154.jpg,vegetable meatballs with tomato,121.0
155.jpg,"carrots, peas, and broad beans",319.0
155.jpg,banana,134.0
155.jpg,bread,55.0
155.jpg,pasta with pumpkin and parmesan,276.0
155.jpg,omelette,128.0
156.jpg,banana,200.0
156.jpg,bread,55.0
156.jpg,pasta with broccoli and parmesan,341.0
156.jpg,omelette,168.0
156.jpg,brussel sprouts,151.0
157.jpg,lentils with tomato sauce,145.0
157.jpg,pasta with tomato sauce and parmesan,226.0
157.jpg,pear,181.0
157.jpg,bread,60.0
157.jpg,vegetable meatballs with cheese,145.0
158.jpg,pasta with tomato sauce and parmesan,261.0
158.jpg,quiche,191.0
158.jpg,roasted brussel sprouts,141.0
158.jpg,pear,172.0
158.jpg,bread,56.0
159.jpg,pasta with vegetables and parmesan,213.0
159.jpg,pear,141.0
159.jpg,roasted fennels,142.0
159.jpg,white pizza with broccoli,236.0
159.jpg,bread,67.0
160.jpg,bread,56.0
160.jpg,pear,161.0
160.jpg,soup with chickpeas and parmesan,305.0
160.jpg,vegetable burger with cheese,150.0
160.jpg,boiled green beans with lemon,150.0
161.jpg,spaghetti with tomato sauce and parmesan,183.0
161.jpg,pear,172.0
161.jpg,omelette with vegetables and cheese,165.0
161.jpg,bread,58.0
161.jpg,"boiled potatoes, carrots and green peas",146.0
162.jpg,pear,170.0
162.jpg,roasted broccoli and potatoes,151.0
162.jpg,vegetable soup with parmesan,300.0
162.jpg,white pizza with potatoes,161.0
162.jpg,bread,57.0
163.jpg,vegetable soup with parmesan,206.0
163.jpg,Boiled courgettes and potatoes,62.0
163.jpg,vegetable pie with cheese,116.0
163.jpg,bread,57.0
163.jpg,fruit yogurt,125.0
164.jpg,Vegetable soup with parmesan,217.0
164.jpg,chicken cutlet with potato chips,132.0
164.jpg,roasted fennels,77.0
164.jpg,bread,61.0
164.jpg,fruit yogurt,125.0
165.jpg,vegetable soup with parmesan,267.0
165.jpg,burger with courgettes,126.0
165.jpg,mashed potatoes,116.0
165.jpg,bread,60.0
165.jpg,fruit yogurt,125.0
166.jpg,pasta with tomato sauce and parmesan,143.0
166.jpg,vegetable pie,111.0
166.jpg,spinach,120.0
166.jpg,bread,61.0
166.jpg,fruit yogurt,125.0
167.jpg,dumplings,137.0
168.jpg,"Pasta with carrots, cabbage and beans",374.0
169.jpg,Pasta with pesto,318.0
170.jpg,Potato salad,248.0
171.jpg,cod,112.0
171.jpg,boiled green beans,148.0
171.jpg,boiled spinach,143.0
171.jpg,bread,34.0
171.jpg,fruit yogurt,125.0
172.jpg,boiled peas,101.0
172.jpg,pasta with tomato sauce,214.0
172.jpg,mixed salad,103.0
172.jpg,Orange,150.0
173.jpg,Pasta with pumpkin sauce,200.0
173.jpg,Orange,129.0
173.jpg,vegetable meatballs with cheese,137.0
173.jpg,Baked green beans,112.0
173.jpg,bread,41.0
174.jpg,mackerel,107.0
174.jpg,baked courgettes,111.0
174.jpg,boiled broccoli,92.0
174.jpg,Bread,58.0
174.jpg,orange,149.0
175.jpg,spinach with potatoes,106.0
175.jpg,escalope,95.0
175.jpg,green beans in tomato sauce:,131.0
175.jpg,orange,134.0
