pair_id,judge,label
P214,rater_3,different
P215,rater_3,different
P216,rater_3,different
P217,rater_3,same
P218,rater_3,different
P219,rater_3,different
P220,rater_3,same
P221,rater_3,same
P222,rater_3,partial
P223,rater_3,same
P224,rater_3,different
P225,rater_3,same
P226,rater_3,partial
P227,rater_3,same
P228,rater_3,different
P229,rater_3,different
P230,rater_3,different
P231,rater_3,same
P232,rater_3,same
P233,rater_3,same
P234,rater_3,same
P235,rater_3,different
P236,rater_3,different
P237,rater_3,same
P238,rater_3,different
P239,rater_3,same
P240,rater_3,different
P241,rater_3,partial
P242,rater_3,partial
P243,rater_3,different
P244,rater_3,different
P245,rater_3,same
P246,rater_3,same
P247,rater_3,different
P248,rater_3,same
P249,rater_3,different
P250,rater_3,different
P251,rater_3,different
P252,rater_3,different
P253,rater_3,different
P254,rater_3,same
P255,rater_3,same
P256,rater_3,same
P257,rater_3,same
P258,rater_3,same
P259,rater_3,partial
P260,rater_3,same
P261,rater_3,same
P262,rater_3,different
P263,rater_3,same
P264,rater_3,different
P265,rater_3,different
P266,rater_3,same
P267,rater_3,same
P268,rater_3,different
P269,rater_3,same
P270,rater_3,same
P271,rater_3,partial
P272,rater_3,same
P273,rater_3,same
P274,rater_3,different
P275,rater_3,different
P276,rater_3,same
P277,rater_3,same
P278,rater_3,different
P279,rater_3,same
P280,rater_3,partial
P281,rater_3,same
P282,rater_3,different
P283,rater_3,same
P284,rater_3,different
P285,rater_3,same
P286,rater_3,partial
P287,rater_3,different
P288,rater_3,different
P289,rater_3,same
P290,rater_3,same
P291,rater_3,different
P292,rater_3,partial
P293,rater_3,different
P294,rater_3,different
P295,rater_3,different
P296,rater_3,same
P297,rater_3,different
P298,rater_3,partial
P299,rater_3,same
P300,rater_3,same
