pair_id,judge,label
P112,rater_1,same
P113,rater_1,same
P114,rater_1,partial
P115,rater_1,different
P116,rater_1,same
P117,rater_1,same
P118,rater_1,same
P119,rater_1,different
P120,rater_1,different
P121,rater_1,different
P122,rater_1,different
P123,rater_1,same
P124,rater_1,different
P125,rater_1,same
P126,rater_1,different
P127,rater_1,same
P128,rater_1,same
P129,rater_1,same
P130,rater_1,same
P131,rater_1,same
P132,rater_1,different
P133,rater_1,same
P134,rater_1,different
P135,rater_1,different
P136,rater_1,same
P137,rater_1,same
P138,rater_1,same
P139,rater_1,different
P140,rater_1,partial
P141,rater_1,same
P142,rater_1,same
P143,rater_1,same
P144,rater_1,different
P145,rater_1,same
P146,rater_1,partial
P147,rater_1,different
P148,rater_1,same
P149,rater_1,same
P150,rater_1,same
P151,rater_1,same
P152,rater_1,same
P153,rater_1,partial
P154,rater_1,same
P155,rater_1,same
P156,rater_1,different
P157,rater_1,same
P158,rater_1,different
P159,rater_1,same
P160,rater_1,same
P161,rater_1,same
P162,rater_1,different
P163,rater_1,partial
P164,rater_1,same
P165,rater_1,same
P166,rater_1,partial
P167,rater_1,different
P168,rater_1,same
P169,rater_1,same
P170,rater_1,same
P171,rater_1,same
P172,rater_1,same
P173,rater_1,same
P174,rater_1,same
P175,rater_1,same
P176,rater_1,same
P177,rater_1,same
P178,rater_1,same
P179,rater_1,different
P180,rater_1,different
P181,rater_1,partial
P182,rater_1,partial
P183,rater_1,same
P184,rater_1,partial
P185,rater_1,partial
P186,rater_1,same
P187,rater_1,same
P188,rater_1,different
P189,rater_1,different
P190,rater_1,same
P191,rater_1,same
P192,rater_1,same
P193,rater_1,partial
P194,rater_1,different
P195,rater_1,same
P196,rater_1,same
P197,rater_1,same
P198,rater_1,same
P199,rater_1,same
P200,rater_1,same
P201,rater_1,partial
P202,rater_1,partial
P203,rater_1,same
P204,rater_1,same
P205,rater_1,different
P206,rater_1,partial
P207,rater_1,same
P208,rater_1,same
P209,rater_1,same
P210,rater_1,partial
P211,rater_1,same
P212,rater_1,partial
P213,rater_1,same
P214,rater_1,different
P215,rater_1,different
P216,rater_1,different
P217,rater_1,different
P218,rater_1,different
P219,rater_1,different
P220,rater_1,same
P221,rater_1,same
P222,rater_1,same
P223,rater_1,same
P224,rater_1,different
P225,rater_1,same
P226,rater_1,same
P227,rater_1,same
P228,rater_1,different
P229,rater_1,different
P230,rater_1,different
P231,rater_1,same
P232,rater_1,same
P233,rater_1,same
P234,rater_1,same
P235,rater_1,different
P236,rater_1,different
P237,rater_1,same
P238,rater_1,different
P239,rater_1,same
P240,rater_1,partial
P241,rater_1,same
P242,rater_1,same
P243,rater_1,partial
P244,rater_1,different
P245,rater_1,same
P246,rater_1,same
P247,rater_1,different
P248,rater_1,same
P249,rater_1,different
P250,rater_1,same
P251,rater_1,partial
P252,rater_1,same
P253,rater_1,different
P254,rater_1,same
P255,rater_1,same
P256,rater_1,same
P257,rater_1,same
P258,rater_1,same
P259,rater_1,same
P260,rater_1,same
P261,rater_1,same
P262,rater_1,different
P263,rater_1,same
P264,rater_1,partial
P265,rater_1,partial
P266,rater_1,same
P267,rater_1,same
P268,rater_1,different
P269,rater_1,same
P270,rater_1,same
P271,rater_1,same
P272,rater_1,same
P273,rater_1,same
P274,rater_1,different
P275,rater_1,same
P276,rater_1,partial
P277,rater_1,same
P278,rater_1,different
P279,rater_1,same
P280,rater_1,different
P281,rater_1,same
P282,rater_1,different
P283,rater_1,same
P284,rater_1,different
P285,rater_1,same
P286,rater_1,different
P287,rater_1,different
P288,rater_1,different
P289,rater_1,same
P290,rater_1,same
P291,rater_1,different
P292,rater_1,partial
P293,rater_1,different
P294,rater_1,same
P295,rater_1,different
P296,rater_1,same
P297,rater_1,partial
P298,rater_1,different
P299,rater_1,same
P300,rater_1,partial
